dataset,reduction,reduction_method,n_components,kernel,train_acc,test_acc,train_err,test_err,svc_train_time,reduction_time,total_train_time,C,gamma,degree
MNIST,PCA-50,PCA,50,linear,0.9341,0.9345,0.0659,0.0655,283.32,0.42,283.73,10.0,,
MNIST,PCA-50,PCA,50,rbf,0.9951,0.9753,0.0049,0.0247,6.77,0.42,7.19,50.0,0.001,
MNIST,PCA-50,PCA,50,poly,0.992,0.9724,0.008,0.0276,8.52,0.42,8.93,0.1,0.01,3.0
MNIST,PCA-100,PCA,100,linear,0.9502,0.9426,0.0498,0.0574,360.35,0.48,360.84,10.0,,
MNIST,PCA-100,PCA,100,rbf,0.998,0.9785,0.002,0.0215,955.13,0.48,955.61,50.0,0.001,
MNIST,PCA-100,PCA,100,poly,0.9961,0.9772,0.0039,0.0228,20.14,0.48,20.62,0.1,0.01,3.0
MNIST,PCA-200,PCA,200,linear,0.9607,0.9432,0.0393,0.0568,471.49,0.51,472.0,10.0,,
MNIST,PCA-200,PCA,200,rbf,0.9991,0.9766,0.0009,0.0234,29.02,0.51,29.53,50.0,0.001,
MNIST,PCA-200,PCA,200,poly,0.9984,0.9779,0.0016,0.0221,36.67,0.51,37.18,0.1,0.01,3.0
MNIST,LDA-9,LDA,9,linear,0.8975,0.8932,0.1025,0.1068,24.7,3.83,28.53,10.0,,
MNIST,LDA-9,LDA,9,rbf,0.9083,0.9026,0.0917,0.0974,7.91,3.83,11.74,50.0,0.001,
MNIST,LDA-9,LDA,9,poly,0.7379,0.742,0.2621,0.258,54.31,3.83,58.14,0.1,0.01,3.0
Fashion-MNIST,PCA-50,PCA,50,linear,0.8491,0.8323,0.1509,0.1677,13.61,0.5,14.11,0.01,,
Fashion-MNIST,PCA-50,PCA,50,rbf,0.9367,0.8847,0.0633,0.1153,15.07,0.5,15.57,50.0,0.001,
Fashion-MNIST,PCA-50,PCA,50,poly,0.9372,0.8806,0.0628,0.1194,13.33,0.5,13.83,0.1,0.01,3.0
Fashion-MNIST,PCA-100,PCA,100,linear,0.8649,0.8484,0.1351,0.1516,17.94,0.5,18.44,0.01,,
Fashion-MNIST,PCA-100,PCA,100,rbf,0.9614,0.8952,0.0386,0.1048,18.48,0.5,18.98,50.0,0.001,
Fashion-MNIST,PCA-100,PCA,100,poly,0.9633,0.8926,0.0367,0.1074,18.13,0.5,18.63,0.1,0.01,3.0
Fashion-MNIST,PCA-200,PCA,200,linear,0.8752,0.8541,0.1248,0.1459,38.45,0.56,39.0,0.01,,
Fashion-MNIST,PCA-200,PCA,200,rbf,0.9818,0.8984,0.0182,0.1016,36.84,0.56,37.39,50.0,0.001,
Fashion-MNIST,PCA-200,PCA,200,poly,0.9834,0.8943,0.0166,0.1057,37.0,0.56,37.56,0.1,0.01,3.0
Fashion-MNIST,LDA-9,LDA,9,linear,0.8431,0.8255,0.1569,0.1745,7.99,4.53,12.51,0.01,,
Fashion-MNIST,LDA-9,LDA,9,rbf,0.8475,0.8279,0.1525,0.1721,8.87,4.53,13.4,50.0,0.001,
Fashion-MNIST,LDA-9,LDA,9,poly,0.7508,0.7413,0.2492,0.2587,32.26,4.53,36.79,0.1,0.01,3.0
