dataset,kernel,model_id,n_samples,test_acc,test_err
MNIST,linear,1,6000,0.8991,0.1009
MNIST,linear,2,6000,0.902,0.098
MNIST,linear,3,6000,0.9005,0.0995
MNIST,linear,4,6000,0.8982,0.1018
MNIST,linear,5,6000,0.8993,0.1007
MNIST,linear,6,6000,0.9046,0.0954
MNIST,linear,7,6000,0.9034,0.0966
MNIST,linear,8,6000,0.901,0.099
MNIST,linear,9,6000,0.903,0.097
MNIST,linear,10,6000,0.9072,0.0928
MNIST,rbf,1,6000,0.945,0.055
MNIST,rbf,2,6000,0.9471,0.0529
MNIST,rbf,3,6000,0.9454,0.0546
MNIST,rbf,4,6000,0.9461,0.0539
MNIST,rbf,5,6000,0.9478,0.0522
MNIST,rbf,6,6000,0.9473,0.0527
MNIST,rbf,7,6000,0.9503,0.0497
MNIST,rbf,8,6000,0.9465,0.0535
MNIST,rbf,9,6000,0.9493,0.0507
MNIST,rbf,10,6000,0.95,0.05
MNIST,poly,1,6000,0.948,0.052
MNIST,poly,2,6000,0.9504,0.0496
MNIST,poly,3,6000,0.9476,0.0524
MNIST,poly,4,6000,0.9475,0.0525
MNIST,poly,5,6000,0.949,0.051
MNIST,poly,6,6000,0.9489,0.0511
MNIST,poly,7,6000,0.9506,0.0494
MNIST,poly,8,6000,0.9472,0.0528
MNIST,poly,9,6000,0.9514,0.0486
MNIST,poly,10,6000,0.9487,0.0513
Fashion-MNIST,linear,1,6000,0.8315,0.1685
Fashion-MNIST,linear,2,6000,0.8294,0.1706
Fashion-MNIST,linear,3,6000,0.8311,0.1689
Fashion-MNIST,linear,4,6000,0.8301,0.1699
Fashion-MNIST,linear,5,6000,0.8319,0.1681
Fashion-MNIST,linear,6,6000,0.831,0.169
Fashion-MNIST,linear,7,6000,0.8312,0.1688
Fashion-MNIST,linear,8,6000,0.8301,0.1699
Fashion-MNIST,linear,9,6000,0.8317,0.1683
Fashion-MNIST,linear,10,6000,0.8322,0.1678
Fashion-MNIST,rbf,1,6000,0.8504,0.1496
Fashion-MNIST,rbf,2,6000,0.8488,0.1512
Fashion-MNIST,rbf,3,6000,0.845,0.155
Fashion-MNIST,rbf,4,6000,0.8508,0.1492
Fashion-MNIST,rbf,5,6000,0.8475,0.1525
Fashion-MNIST,rbf,6,6000,0.8486,0.1514
Fashion-MNIST,rbf,7,6000,0.8476,0.1524
Fashion-MNIST,rbf,8,6000,0.8536,0.1464
Fashion-MNIST,rbf,9,6000,0.8452,0.1548
Fashion-MNIST,rbf,10,6000,0.8478,0.1522
Fashion-MNIST,poly,1,6000,0.8473,0.1527
Fashion-MNIST,poly,2,6000,0.8448,0.1552
Fashion-MNIST,poly,3,6000,0.8404,0.1596
Fashion-MNIST,poly,4,6000,0.8434,0.1566
Fashion-MNIST,poly,5,6000,0.8432,0.1568
Fashion-MNIST,poly,6,6000,0.8472,0.1528
Fashion-MNIST,poly,7,6000,0.8448,0.1552
Fashion-MNIST,poly,8,6000,0.8471,0.1529
Fashion-MNIST,poly,9,6000,0.8421,0.1579
Fashion-MNIST,poly,10,6000,0.8396,0.1604
