dataset,reduction,reduction_method,n_components,kernel,train_acc,test_acc,train_err,test_err,svc_train_time,reduction_time,total_train_time,C,gamma,degree
MNIST,PCA-50,PCA,50,linear,0.9316,0.9332,0.0684,0.0668,7.67,0.42,8.08,0.01,,
MNIST,PCA-50,PCA,50,linear,0.9333,0.9345,0.0667,0.0655,10.08,0.42,10.49,0.05,,
MNIST,PCA-50,PCA,50,linear,0.9337,0.9343,0.0663,0.0657,12.96,0.42,13.38,0.1,,
MNIST,PCA-50,PCA,50,linear,0.9341,0.9346,0.0659,0.0654,30.09,0.42,30.51,0.5,,
MNIST,PCA-50,PCA,50,linear,0.9343,0.935,0.0657,0.065,45.39,0.42,45.8,1.0,,
MNIST,PCA-50,PCA,50,linear,0.9342,0.9345,0.0658,0.0655,158.87,0.42,159.29,5.0,,
MNIST,PCA-50,PCA,50,linear,0.9341,0.9345,0.0659,0.0655,283.32,0.42,283.73,10.0,,
MNIST,PCA-100,PCA,100,linear,0.9429,0.9398,0.0571,0.0602,10.62,0.48,11.11,0.01,,
MNIST,PCA-100,PCA,100,linear,0.9455,0.9392,0.0545,0.0608,13.12,0.48,13.61,0.05,,
MNIST,PCA-100,PCA,100,linear,0.9466,0.9384,0.0534,0.0616,18.69,0.48,19.18,0.1,,
MNIST,PCA-100,PCA,100,linear,0.9486,0.9398,0.0514,0.0602,38.61,0.48,39.09,0.5,,
MNIST,PCA-100,PCA,100,linear,0.9493,0.9401,0.0507,0.0599,59.2,0.48,59.68,1.0,,
MNIST,PCA-100,PCA,100,linear,0.9499,0.942,0.0501,0.058,197.29,0.48,197.77,5.0,,
MNIST,PCA-100,PCA,100,linear,0.9502,0.9426,0.0498,0.0574,360.35,0.48,360.84,10.0,,
MNIST,PCA-200,PCA,200,linear,0.9511,0.9449,0.0489,0.0551,23.53,0.51,24.04,0.01,,
MNIST,PCA-200,PCA,200,linear,0.9541,0.9436,0.0459,0.0564,30.66,0.51,31.17,0.05,,
MNIST,PCA-200,PCA,200,linear,0.9553,0.9445,0.0447,0.0555,34.11,0.51,34.62,0.1,,
MNIST,PCA-200,PCA,200,linear,0.9579,0.943,0.0421,0.057,74.24,0.51,74.75,0.5,,
MNIST,PCA-200,PCA,200,linear,0.9585,0.9436,0.0415,0.0564,95.28,0.51,95.79,1.0,,
MNIST,PCA-200,PCA,200,linear,0.9602,0.9418,0.0398,0.0582,263.7,0.51,264.21,5.0,,
MNIST,PCA-200,PCA,200,linear,0.9607,0.9432,0.0393,0.0568,471.49,0.51,472.0,10.0,,
MNIST,LDA-9,LDA,9,linear,0.8967,0.8927,0.1033,0.1073,7.06,3.83,10.89,0.01,,
MNIST,LDA-9,LDA,9,linear,0.8974,0.893,0.1026,0.107,6.55,3.83,10.38,0.05,,
MNIST,LDA-9,LDA,9,linear,0.8974,0.893,0.1026,0.107,6.72,3.83,10.55,0.1,,
MNIST,LDA-9,LDA,9,linear,0.8975,0.8931,0.1025,0.1069,8.22,3.83,12.06,0.5,,
MNIST,LDA-9,LDA,9,linear,0.8975,0.8933,0.1025,0.1067,9.9,3.83,13.73,1.0,,
MNIST,LDA-9,LDA,9,linear,0.8974,0.8933,0.1026,0.1067,17.88,3.83,21.71,5.0,,
MNIST,LDA-9,LDA,9,linear,0.8975,0.8932,0.1025,0.1068,24.7,3.83,28.53,10.0,,
MNIST,PCA-50,PCA,50,rbf,0.95,0.9463,0.05,0.0537,20.59,0.42,21.01,0.1,scale,
MNIST,PCA-50,PCA,50,rbf,0.9077,0.8992,0.0923,0.1008,46.07,0.42,46.49,0.1,0.01,
MNIST,PCA-50,PCA,50,rbf,0.9473,0.9399,0.0527,0.0601,26.08,0.42,26.5,0.1,0.005,
MNIST,PCA-50,PCA,50,rbf,0.9361,0.9357,0.0639,0.0643,21.78,0.42,22.19,0.1,0.001,
MNIST,PCA-50,PCA,50,rbf,0.982,0.9712,0.018,0.0288,10.85,0.42,11.26,1.0,scale,
MNIST,PCA-50,PCA,50,rbf,0.9955,0.9596,0.0045,0.0404,34.44,0.42,34.86,1.0,0.01,
MNIST,PCA-50,PCA,50,rbf,0.9899,0.9713,0.0101,0.0287,16.54,0.42,16.95,1.0,0.005,
MNIST,PCA-50,PCA,50,rbf,0.9658,0.9606,0.0342,0.0394,10.4,0.42,10.82,1.0,0.001,
MNIST,PCA-50,PCA,50,rbf,0.9929,0.9755,0.0071,0.0245,9.38,0.42,9.8,5.0,scale,
MNIST,PCA-50,PCA,50,rbf,0.9995,0.9621,0.0005,0.0379,34.47,0.42,34.89,5.0,0.01,
MNIST,PCA-50,PCA,50,rbf,0.9974,0.9744,0.0026,0.0256,17.36,0.42,17.77,5.0,0.005,
MNIST,PCA-50,PCA,50,rbf,0.982,0.9706,0.018,0.0294,7.34,0.42,7.76,5.0,0.001,
MNIST,PCA-50,PCA,50,rbf,0.9959,0.9764,0.0041,0.0236,9.19,0.42,9.61,10.0,scale,
MNIST,PCA-50,PCA,50,rbf,0.9998,0.9621,0.0002,0.0379,34.79,0.42,35.2,10.0,0.01,
MNIST,PCA-50,PCA,50,rbf,0.9989,0.9743,0.0011,0.0257,15.89,0.42,16.31,10.0,0.005,
MNIST,PCA-50,PCA,50,rbf,0.9872,0.9738,0.0128,0.0262,6.67,0.42,7.08,10.0,0.001,
MNIST,PCA-50,PCA,50,rbf,0.9992,0.9765,0.0008,0.0235,10.94,0.42,11.35,50.0,scale,
MNIST,PCA-50,PCA,50,rbf,1.0,0.9617,0.0,0.0383,36.91,0.42,37.33,50.0,0.01,
MNIST,PCA-50,PCA,50,rbf,0.9999,0.973,0.0001,0.027,16.79,0.42,17.21,50.0,0.005,
MNIST,PCA-50,PCA,50,rbf,0.9951,0.9753,0.0049,0.0247,6.77,0.42,7.19,50.0,0.001,
MNIST,PCA-100,PCA,100,rbf,0.9491,0.9455,0.0509,0.0545,30.5,0.48,30.98,0.1,scale,
MNIST,PCA-100,PCA,100,rbf,0.8619,0.853,0.1381,0.147,76.61,0.48,77.1,0.1,0.01,
MNIST,PCA-100,PCA,100,rbf,0.9344,0.9273,0.0656,0.0727,44.56,0.48,45.04,0.1,0.005,
MNIST,PCA-100,PCA,100,rbf,0.9402,0.9385,0.0598,0.0615,31.85,0.48,32.33,0.1,0.001,
MNIST,PCA-100,PCA,100,rbf,0.9839,0.9707,0.0161,0.0293,17.56,0.48,18.05,1.0,scale,
MNIST,PCA-100,PCA,100,rbf,0.9976,0.9446,0.0024,0.0554,66.67,0.48,67.16,1.0,0.01,
MNIST,PCA-100,PCA,100,rbf,0.9938,0.9681,0.0062,0.0319,29.13,0.48,29.61,1.0,0.005,
MNIST,PCA-100,PCA,100,rbf,0.9729,0.9647,0.0271,0.0353,13.92,0.48,14.4,1.0,0.001,
MNIST,PCA-100,PCA,100,rbf,0.9947,0.9778,0.0053,0.0222,13.44,0.48,13.92,5.0,scale,
MNIST,PCA-100,PCA,100,rbf,0.9999,0.9481,0.0001,0.0519,67.84,0.48,68.32,5.0,0.01,
MNIST,PCA-100,PCA,100,rbf,0.9991,0.9705,0.0009,0.0295,28.33,0.48,28.82,5.0,0.005,
MNIST,PCA-100,PCA,100,rbf,0.9878,0.9759,0.0122,0.0241,10.56,0.48,11.05,5.0,0.001,
MNIST,PCA-100,PCA,100,rbf,0.9973,0.978,0.0027,0.022,13.19,0.48,13.68,10.0,scale,
MNIST,PCA-100,PCA,100,rbf,1.0,0.9481,0.0,0.0519,505.15,0.48,505.63,10.0,0.01,
MNIST,PCA-100,PCA,100,rbf,0.9996,0.97,0.0004,0.03,27.16,0.48,27.64,10.0,0.005,
MNIST,PCA-100,PCA,100,rbf,0.9922,0.9776,0.0078,0.0224,9.64,0.48,10.13,10.0,0.001,
MNIST,PCA-100,PCA,100,rbf,0.9996,0.9778,0.0004,0.0222,12.4,0.48,12.88,50.0,scale,
MNIST,PCA-100,PCA,100,rbf,1.0,0.9478,0.0,0.0522,92.84,0.48,93.32,50.0,0.01,
MNIST,PCA-100,PCA,100,rbf,1.0,0.9699,0.0,0.0301,30.61,0.48,31.09,50.0,0.005,
MNIST,PCA-100,PCA,100,rbf,0.998,0.9785,0.002,0.0215,955.13,0.48,955.61,50.0,0.001,
MNIST,PCA-200,PCA,200,rbf,0.9464,0.9423,0.0536,0.0577,1081.58,0.51,1082.09,0.1,scale,
MNIST,PCA-200,PCA,200,rbf,0.7943,0.7871,0.2057,0.2129,3067.83,0.51,3068.34,0.1,0.01,
MNIST,PCA-200,PCA,200,rbf,0.9099,0.9049,0.0901,0.0951,710.44,0.51,710.95,0.1,0.005,
MNIST,PCA-200,PCA,200,rbf,0.9422,0.9394,0.0578,0.0606,1299.1,0.51,1299.61,0.1,0.001,
MNIST,PCA-200,PCA,200,rbf,0.9849,0.9693,0.0151,0.0307,63.85,0.51,64.36,1.0,scale,
MNIST,PCA-200,PCA,200,rbf,0.9988,0.9179,0.0012,0.0821,3629.23,0.51,3629.74,1.0,0.01,
MNIST,PCA-200,PCA,200,rbf,0.9957,0.9609,0.0043,0.0391,118.62,0.51,119.13,1.0,0.005,
MNIST,PCA-200,PCA,200,rbf,0.9774,0.9667,0.0226,0.0333,45.63,0.51,46.14,1.0,0.001,
MNIST,PCA-200,PCA,200,rbf,0.9956,0.9753,0.0044,0.0247,33.51,0.51,34.02,5.0,scale,
MNIST,PCA-200,PCA,200,rbf,1.0,0.923,0.0,0.077,2062.93,0.51,2063.44,5.0,0.01,
MNIST,PCA-200,PCA,200,rbf,0.9997,0.9638,0.0003,0.0362,81.42,0.51,81.93,5.0,0.005,
MNIST,PCA-200,PCA,200,rbf,0.9912,0.9752,0.0088,0.0248,29.31,0.51,29.82,5.0,0.001,
MNIST,PCA-200,PCA,200,rbf,0.998,0.9754,0.002,0.0246,34.82,0.51,35.33,10.0,scale,
MNIST,PCA-200,PCA,200,rbf,1.0,0.9229,0.0,0.0771,442.97,0.51,443.48,10.0,0.01,
MNIST,PCA-200,PCA,200,rbf,0.9999,0.9638,0.0001,0.0362,982.85,0.51,983.36,10.0,0.005,
MNIST,PCA-200,PCA,200,rbf,0.9948,0.9751,0.0052,0.0249,31.27,0.51,31.78,10.0,0.001,
MNIST,PCA-200,PCA,200,rbf,0.9998,0.9754,0.0002,0.0246,35.0,0.51,35.51,50.0,scale,
MNIST,PCA-200,PCA,200,rbf,1.0,0.9229,0.0,0.0771,295.44,0.51,295.95,50.0,0.01,
MNIST,PCA-200,PCA,200,rbf,1.0,0.964,0.0,0.036,92.71,0.51,93.22,50.0,0.005,
MNIST,PCA-200,PCA,200,rbf,0.9991,0.9766,0.0009,0.0234,29.02,0.51,29.53,50.0,0.001,
MNIST,LDA-9,LDA,9,rbf,0.912,0.9067,0.088,0.0933,9.03,3.83,12.86,0.1,scale,
MNIST,LDA-9,LDA,9,rbf,0.8997,0.8954,0.1003,0.1046,11.98,3.83,15.81,0.1,0.01,
MNIST,LDA-9,LDA,9,rbf,0.8944,0.892,0.1056,0.108,13.16,3.83,16.99,0.1,0.005,
MNIST,LDA-9,LDA,9,rbf,0.8866,0.8848,0.1134,0.1152,23.76,3.83,27.59,0.1,0.001,
MNIST,LDA-9,LDA,9,rbf,0.926,0.9215,0.074,0.0785,6.2,3.83,10.03,1.0,scale,
MNIST,LDA-9,LDA,9,rbf,0.9117,0.9055,0.0883,0.0945,7.56,3.83,11.39,1.0,0.01,
MNIST,LDA-9,LDA,9,rbf,0.904,0.8993,0.096,0.1007,8.41,3.83,12.25,1.0,0.005,
MNIST,LDA-9,LDA,9,rbf,0.8961,0.8915,0.1039,0.1085,11.03,3.83,14.86,1.0,0.001,
MNIST,LDA-9,LDA,9,rbf,0.9361,0.9248,0.0639,0.0752,6.16,3.83,9.99,5.0,scale,
MNIST,LDA-9,LDA,9,rbf,0.9193,0.9125,0.0807,0.0875,6.43,3.83,10.26,5.0,0.01,
MNIST,LDA-9,LDA,9,rbf,0.9132,0.9057,0.0868,0.0943,6.98,3.83,10.81,5.0,0.005,
MNIST,LDA-9,LDA,9,rbf,0.8993,0.8946,0.1007,0.1054,9.42,3.83,13.25,5.0,0.001,
MNIST,LDA-9,LDA,9,rbf,0.9411,0.9261,0.0589,0.0739,6.0,3.83,9.83,10.0,scale,
MNIST,LDA-9,LDA,9,rbf,0.922,0.9153,0.078,0.0847,6.56,3.83,10.39,10.0,0.01,
MNIST,LDA-9,LDA,9,rbf,0.9159,0.9092,0.0841,0.0908,6.66,3.83,10.49,10.0,0.005,
MNIST,LDA-9,LDA,9,rbf,0.901,0.8966,0.099,0.1034,8.14,3.83,11.97,10.0,0.001,
MNIST,LDA-9,LDA,9,rbf,0.9532,0.9249,0.0468,0.0751,8.0,3.83,11.83,50.0,scale,
MNIST,LDA-9,LDA,9,rbf,0.928,0.9225,0.072,0.0775,7.28,3.83,11.11,50.0,0.01,
MNIST,LDA-9,LDA,9,rbf,0.9221,0.9162,0.0779,0.0838,7.08,3.83,10.91,50.0,0.005,
MNIST,LDA-9,LDA,9,rbf,0.9083,0.9026,0.0917,0.0974,7.91,3.83,11.74,50.0,0.001,
